# ----------------------------------------
# Onerway Checkout
# 收银台全局数据-收银台平均加载时长
# 20240708-20240721
# ----------------------------------------

日期,20240715,20240715,20240720,20240720,20240716,20240716,20240717,20240717,20240714,20240714,20240710,20240710,20240718,20240718,20240719,20240719,20240721,20240721,20240709,20240709,20240713,20240713,20240708,20240708,20240712,20240712,20240711,20240711,合计,合计
国家/地区,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数
,3651.2379162019274,11789,4184.243752211931,11347,2409.161777825061,12256,3116.651622601724,12028,2392.9357373817634,10522,2568.305600149275,10139,2804.088518232652,12007,2267.186527987585,11152,2253.0618495789636,11150,2457.850707640711,10106,11278.780247374467,10359,2766.427986487097,10133,2752.4300799222533,10616,2595.7348557614087,10324,3363.8988812622724,122529,总计
United States,4574.484025886868,3513,5076.5124095985375,3702,2551.1688835076166,3423,2291.134304565409,3390,2338.971506572497,3253,2175.4146447611793,2914,2082.900110923318,3522,2034.6593945876036,3431,1940.3135135134291,3552,2279.0865661039966,2815,29927.816201302616,3305,3259.418015078204,2844,3385.8523548858707,2967,2224.272115009844,3198,4726.547302963146,37162
Poland,2629.08033519581,940,2277.8033648172964,842,2357.9042627345843,961,2474.952272727273,910,2602.3502716841244,818,2800.812108626518,869,2320.800147856087,982,2271.030613796578,932,2368.9679128856624,750,2908.6540717631824,835,2727.10390440929,797,2787.2656071204706,834,2636.477448237549,958,2924.6393939397094,853,2567.021663463613,8878
United Kingdom,6805.187414187642,920,2757.4050583644616,1031,1656.856598240795,1067,1921.067932153735,978,1946.6986427037036,820,1840.8847386172006,805,1880.5023923452336,936,2054.988385759419,989,2164.4440176757307,956,2266.2363636363634,860,2358.2118719619125,896,1915.0838191820872,855,2127.8861844774483,891,1816.8216805942432,717,2402.2565479773375,10213
Germany,2017.9654227868202,794,1921.283841181902,649,1821.8041798099368,761,11851.309233511944,812,1613.1622754481805,720,2445.7883186710656,655,1889.8192406671963,719,1732.4457031218749,706,1589.831587906343,692,1837.4873047404062,688,1696.9320728943053,707,2296.8662376658085,746,1888.8912093,672,2144.2130618366405,653,2762.1178572775298,7755
France,4161.447596826878,721,1981.0381136950905,549,2307.2396344199733,775,2199.359724689165,765,1903.9,583,2326.1408424908427,643,1943.5262246412667,677,2302.1851142680666,585,2060.280654338549,525,2152.768683505141,707,1954.2889577459155,593,2188.7905767255406,622,2145.911245587494,682,2113.0679520583635,619,2292.431382950983,6918
Spain,2393.085153060714,587,2321.5484887472667,517,2309.3518776460623,721,2179.3465912965016,731,2491.6998704669686,503,2446.0928612221587,558,2286.6395670982683,700,2282.485410515062,561,2264.4733432620997,459,2369.017082192329,552,2433.0267794626607,500,2426.980488997066,609,2583.387997531358,649,4481.184437300643,561,2514.769657706041,6433
Canada,1932.8228335625859,406,2106.0286161039876,385,2015.582147742818,455,2296.7200560245096,445,1920.1246244708861,387,2177.7935452793836,326,2061.7373226403456,446,1794.1952712100137,389,1999.8215317933525,387,2278.5721037998146,339,2336.54541242076,374,1998.6890466541581,312,2194.6201951951953,370,2142.61586826497,355,2082.337982432186,4194
